"NAME","CITY","COUNT"
BAPTISTE,CARREFOUR,799
JEUDY,PORT-AU-PRINCE,796
ALEXIS,CAP-HAITIEN,795
JEROME,PORT-AU-PRINCE,790
ANDRE,DELMAS,787
NICOLAS,CARREFOUR,785
GERMAIN,DELMAS,785
JACQUES,PETION-VILLE,783
METAYER,L'ANSE ROUGE,783
BERNARD,CARREFOUR,780
LINDOR,PORT-AU-PRINCE,779
EDOUARD,DELMAS,778
PIERRE-LOUIS,CARREFOUR,774
NELSON,PORT-AU-PRINCE,774
FELIX,DELMAS,772
BELIZAIRE,PORT-AU-PRINCE,772
JACQUES,CARREFOUR,766
HYPPOLITE,PORT-AU-PRINCE,761
HENRY,PORT-AU-PRINCE,761
ST LOUIS,PORT-AU-PRINCE,761
CIVIL,PORT-AU-PRINCE,759
JEAN PIERRE,CARREFOUR,757
FELIX,CARREFOUR,754
JUSTE,PORT-AU-PRINCE,752
ALEXIS,SAINT MARC,750
ALEXANDRE,CROIX DES BOUQUETS,740
DIMANCHE,PORT-AU-PRINCE,738
AUGUSTIN,OUANAMINTHE,737
ALEXANDRE,GONAIVES,733
JEAN BAPTISTE,CITE-SOLEIL,732
NOEL,BELLE ANSE,730
THOMAS,CROIX DES BOUQUETS,724
ANTOINE,LASCAHOBAS,723
NELSON,PETION-VILLE,721
JULIEN,CARREFOUR,720
AUGUSTIN,CAYES,720
GUERRIER,CROIX DES BOUQUETS,718
SIMON,DELMAS,718
CELESTIN,DELMAS,716
FORTUNE,PETION-VILLE,716
JEUNE,DELMAS,715
NELSON,CARREFOUR,714
JEAN PIERRE,DELMAS,712
JEANTY,CARREFOUR,710
MARCELIN,DELMAS,710
DESIR,GONAIVES,710
CASSEUS,PORT-AU-PRINCE,708
EUGENE,PORT-DE-PAIX,708
CALIXTE,DELMAS,707
AUGUSTIN,PETITE-RIVIERE,707
CADET,CROIX DES BOUQUETS,703
RENE,PETION-VILLE,702
JEAN-BAPTISTE,SAINT MARC,702
JEAN CHARLES,PORT-AU-PRINCE,702
LUBIN,CARREFOUR,700
LAGUERRE,PETIT-GOAVE,700
NOEL,OUANAMINTHE,700
LUBIN,JACMEL,698
RENE,DELMAS,698
ALEXIS,GONAIVES,695
NICOLAS,PETION-VILLE,693
EDMOND,PORT-AU-PRINCE,692
GEORGES,CAP-HAITIEN,691
BERNARD,DELMAS,690
TOUSSAINT,GONAIVES,687
ANDRE,PETION-VILLE,686
JEAN-BAPTISTE,CARREFOUR,686
BLANC,PORT-AU-PRINCE,685
JEAN BAPTISTE,TABARRE,684
ANTOINE,CITE-SOLEIL,683
RAPHAEL,OUANAMINTHE,682
PHILIPPE,PORT-AU-PRINCE,680
LAURENT,CARREFOUR,679
TOUSSAINT,MARIGOT,678
ULYSSE,PORT-AU-PRINCE,678
PIERRE-LOUIS,PETION-VILLE,677
LAGUERRE,JACMEL,676
REMY,CROIX DES BOUQUETS,675
LAURENT,JACMEL,672
NOEL,CITE-SOLEIL,668
RENE,CARREFOUR,668
MONDESIR,PORT-AU-PRINCE,667
LOUISSAINT,CARREFOUR,664
DIEUJUSTE,GONAIVES,664
REMY,PORT-AU-PRINCE,664
PIERRE-LOUIS,SAINT MARC,663
SAINT LOUIS,PORT-AU-PRINCE,662
JEAN LOUIS,PETION-VILLE,661
BELIZAIRE,DELMAS,661
JEAN LOUIS,LEOGANE,659
MATHIEU,PORT-AU-PRINCE,659
ANDRE,CARREFOUR,655
DORVIL,PORT-AU-PRINCE,654
JEAN-LOUIS,PETIT-GOAVE,654
SANON,CROIX DES BOUQUETS,653
SAINTIL,PORT-DE-PAIX,652
THOMAS,DELMAS,652
MARCELIN,CARREFOUR,652
DESIR,SAINT MARC,652
DELVA,DELMAS,651
JEAN-LOUIS,CARREFOUR,650
DESIR,CAP-HAITIEN,648
AUGUSTIN,CITE-SOLEIL,647
CESAR,PORT-AU-PRINCE,644
BEAUBRUN,PETION-VILLE,642
JEAN-LOUIS,DELMAS,642
LAURENT,DELMAS,639
MARCELIN,PETION-VILLE,638
EUGENE,CAP-HAITIEN,632
JEAN-BAPTISTE,PETION-VILLE,632
TOUSSAINT,CITE-SOLEIL,632
BIEN-AIME,PETION-VILLE,632
DENIS,CARREFOUR,632
ANTOINE,OUANAMINTHE,631
THOMAS,CARREFOUR,631
GEORGES,CROIX DES BOUQUETS,629
JUSTE,CARREFOUR,629
CELESTIN,HINCHE,629
LOUISSAINT,DELMAS,627
SAINTIL,PORT-AU-PRINCE,626
ALEXIS,CITE-SOLEIL,626
PIERRE-LOUIS,JACMEL,625
JULIEN,DELMAS,624
GUILLAUME,DELMAS,623
CADET,CAP-HAITIEN,623
JEANTY,PETION-VILLE,620
SAINT-LOUIS,SAINT MARC,617
